numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
10000,GEMM_8,4,128,8,8,1,2,8,162962,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,8,8,1,2,16,89382,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,8,8,1,2,32,53937,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,16,8,1,2,8,162964,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,16,8,1,2,16,89380,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,16,8,1,2,32,53940,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,32,8,1,2,8,162962,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,32,8,1,2,16,89381,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,32,8,1,2,32,53940,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,8,8,2,2,8,145561,24815,2620,27435,29587,28907,680
10000,GEMM_8,4,128,8,8,1,2,8,162963,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,8,8,1,2,16,89381,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,8,8,1,2,32,53937,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,16,8,1,2,8,162961,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,16,8,1,2,16,89383,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,16,8,1,2,32,53940,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,8,8,4,2,8,160559,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,8,8,4,2,16,88173,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,8,8,4,2,32,53333,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,16,8,4,2,8,160556,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,16,8,4,2,16,88172,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,16,8,4,2,32,53334,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,32,8,4,2,8,160559,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,32,8,4,2,16,88174,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,32,8,4,2,32,53336,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,8,8,8,2,8,160556,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,8,8,8,2,16,88172,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,8,8,8,2,32,53333,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,16,8,8,2,8,160556,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,16,8,8,2,16,88172,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,16,8,8,2,32,53336,1051,157,1208,1402,1245,157
10000,GEMM_8,4,128,32,8,8,2,8,160557,572,636,1208,1881,1245,636
10000,GEMM_8,4,128,32,8,8,2,16,88172,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,32,8,8,2,32,53336,1051,157,1208,1402,1245,157
10000,GEMM_8,8,128,8,8,4,2,8,157364,587,621,1208,1866,1245,621
10000,GEMM_8,8,128,8,8,4,2,16,88172,896,312,1208,1557,1245,312
10000,GEMM_8,8,128,8,8,4,2,32,53336,1051,157,1208,1402,1245,157
10000,GEMM_8,8,128,16,8,4,2,8,157364,587,621,1208,1866,1245,621
10000,GEMM_8,8,128,16,8,4,2,16,88172,896,312,1208,1557,1245,312
10000,GEMM_8,8,128,16,8,4,2,32,53336,1051,157,1208,1402,1245,157
10000,GEMM_8,8,128,32,8,4,2,8,157364,587,621,1208,1866,1245,621
10000,GEMM_8,8,128,32,8,4,2,16,88172,896,312,1208,1557,1245,312
10000,GEMM_8,4,128,8,8,2,2,8,145595,24854,2451,27305,29458,28778,680
10000,GEMM_8,4,128,8,8,2,2,16,142180,24043,977,25020,29854,29214,640
10000,GEMM_8,4,128,8,8,2,2,8,145597,24854,2451,27305,29458,28778,680
10000,GEMM_8,4,128,8,8,2,2,16,142182,24043,977,25020,29854,29214,640
