numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
64,GEMM,4,8,8,8,1,1,8,72,0,0,0,0,0,0
64,GEMM,4,8,8,8,1,1,8,381,0,0,0,0,0,0
64,GEMM,4,8,8,8,1,1,8,1334,0,0,0,0,0,0
64,GEMM,4,8,8,8,1,1,8,340,0,0,0,0,0,0
6400,GEMM,4,8,8,8,1,1,8,33626,0,0,0,0,0,0
100,GEMM,4,8,8,8,1,1,8,1956,0,0,0,0,0,0
64,GEMM,4,8,8,8,1,1,8,1957,0,0,0,0,0,0
64,GEMM,4,8,8,8,1,1,8,1956,0,0,0,0,0,0
64,GEMM,4,8,8,8,1,1,8,1958,0,0,0,0,0,0
64,GEMM,4,8,8,8,1,1,8,1959,0,0,0,0,0,0
64,GEMM,4,8,8,8,1,1,8,1956,0,379,380,389,380,9
64,GEMM,4,8,8,8,2,1,8,1958,0,395,395,404,395,9
64,GEMM,4,8,32,8,2,1,8,306,0,64,64,65,64,1
256,GEMM,4,8,32,8,2,1,8,7100,0,1433,1433,1466,1433,33
128,GEMM,4,8,32,8,2,1,8,609,0,128,128,130,128,2
160,GEMM,4,8,32,8,2,1,8,610,0,128,128,130,128,2
1000,GEMM,4,8,32,8,2,2,8,44765,0,9001,9001,9210,9001,209
1000,GEMM,4,8,32,8,2,2,8,44767,0,9001,9001,9210,9001,209
