numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
10000,GEMM_prefetch_8,4,128,8,8,1,1,8,121152,2428,13907,16335,17103,16539,564
10000,GEMM_prefetch_8,4,128,32,8,4,1,32,45010,656,7017,7673,8046,7857,189
10000,GEMM_prefetch_8,4,128,32,8,8,1,32,45009,656,7017,7673,8046,7857,189
10000,GEMM_prefetch_8,4,128,32,8,4,1,32,45972,668,7841,8509,8773,8580,193
10000,GEMM_prefetch_8,4,128,32,8,8,1,32,45971,668,7841,8509,8773,8580,193
10000,GEMM_prefetch_8,8,128,32,8,4,1,32,45732,683,7777,8460,8723,8531,192
10000,GEMM_prefetch_8,4,128,32,8,4,2,32,47881,668,8222,8890,9162,8961,201
10000,GEMM_prefetch_8,4,128,32,8,8,2,32,47881,668,8222,8890,9162,8961,201
10000,GEMM_prefetch_8,8,128,32,8,4,2,32,47637,683,8158,8841,9112,8912,200
100,GEMM_prefetch_8,8,512,12,8,2,1,16,2260,0,476,476,486,476,10
300,GEMM_prefetch_8,4,128,32,8,1,1,32,2261,137,286,423,433,424,9
300,GEMM_prefetch_8,4,128,32,8,1,2,32,2261,137,286,423,433,424,9
200,GEMM_prefetch_8,4,128,32,8,1,2,32,2193,133,282,415,424,415,9
200,GEMM_prefetch_8,8,128,32,8,1,2,32,2192,133,282,415,424,415,9
200,GEMM_prefetch_8,8,128,32,8,4,1,8,2072,49,403,452,461,452,9
200,GEMM_prefetch_8,8,128,32,8,4,1,16,2528,90,453,543,554,543,11
200,GEMM_prefetch_8,8,128,32,8,4,1,32,1112,53,173,226,230,226,4
200,GEMM_prefetch_8,8,128,32,8,4,1,32,1112,53,173,226,230,226,4
1000,GEMM_prefetch_8,8,128,32,8,4,1,32,1928,91,231,322,336,328,8
1000,GEMM_prefetch_8,4,128,32,8,4,1,32,1929,91,231,322,336,328,8
1000,GEMM_prefetch_8,4,128,32,8,8,1,32,1929,91,231,322,336,328,8
10000,GEMM_prefetch_8,4,128,32,8,4,1,32,45974,668,7841,8509,8773,8580,193
10000,GEMM_prefetch_8,4,128,32,8,8,1,32,45974,668,7841,8509,8773,8580,193
1000,GEMM_prefetch_8,4,128,8,8,4,1,32,6758,152,1136,1288,1322,1294,28
1000,GEMM_prefetch_8,4,128,32,8,4,1,32,1929,91,231,322,336,328,8
1000,GEMM_prefetch_8,4,128,8,8,8,1,32,6760,152,1136,1288,1322,1294,28
