numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
10000,GEMM_wideLoad_8,4,128,8,8,1,2,8,253853,41434,3510,44944,47953,47360,593
10000,GEMM_wideLoad_8,4,128,8,8,1,2,16,127253,10220,852,11072,12548,12262,286
10000,GEMM_wideLoad_8,4,128,8,8,1,2,16,127253,10220,852,11072,12548,12262,286
10000,GEMM_wideLoad_8,4,128,8,8,1,2,32,67401,5153,1110,6263,7779,7637,142
10000,GEMM_wideLoad_8,4,128,16,8,1,2,8,248285,42334,2418,44752,47751,47171,580
10000,GEMM_wideLoad_8,4,128,8,8,2,2,8,166788,29436,2499,31935,34538,33874,664
10000,GEMM_wideLoad_8,4,128,8,8,2,2,8,252115,507,571,1078,1713,1111,602
10000,GEMM_wideLoad_8,4,128,8,8,2,2,16,146252,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,8,8,2,2,32,84350,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,4,128,16,8,2,2,8,252115,507,571,1078,1713,1111,602
10000,GEMM_wideLoad_8,4,128,16,8,2,2,16,146252,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,16,8,2,2,32,84352,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,4,128,32,8,2,2,8,252117,507,571,1078,1713,1111,602
10000,GEMM_wideLoad_8,4,128,32,8,2,2,16,146252,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,32,8,2,2,32,84350,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,4,128,8,8,4,2,8,266282,507,571,1078,1681,1111,570
10000,GEMM_wideLoad_8,4,128,8,8,4,2,16,146255,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,8,8,4,2,32,84352,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,4,128,16,8,4,2,8,266281,507,571,1078,1681,1111,570
10000,GEMM_wideLoad_8,4,128,16,8,4,2,16,146254,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,16,8,4,2,32,84351,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,4,128,32,8,4,2,8,266280,507,571,1078,1681,1111,570
10000,GEMM_wideLoad_8,4,128,32,8,4,2,16,146254,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,32,8,4,2,32,84349,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,4,128,8,8,8,2,8,266492,507,571,1078,1681,1111,570
10000,GEMM_wideLoad_8,4,128,8,8,8,2,16,146254,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,8,8,8,2,32,84352,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,4,128,16,8,8,2,8,266492,507,571,1078,1681,1111,570
10000,GEMM_wideLoad_8,4,128,16,8,8,2,16,146253,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,16,8,8,2,32,84352,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,4,128,32,8,8,2,8,266493,507,571,1078,1681,1111,570
10000,GEMM_wideLoad_8,4,128,32,8,8,2,16,146253,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,4,128,32,8,8,2,32,84353,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,8,128,8,8,2,2,8,245481,522,556,1078,1698,1111,587
10000,GEMM_wideLoad_8,8,128,8,8,2,2,16,146252,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,8,128,8,8,2,2,32,84352,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,8,128,16,8,2,2,8,245484,522,556,1078,1698,1111,587
10000,GEMM_wideLoad_8,8,128,16,8,2,2,16,146252,799,279,1078,1390,1111,279
10000,GEMM_wideLoad_8,8,128,16,8,2,2,32,84352,938,140,1078,1251,1111,140
10000,GEMM_wideLoad_8,8,128,32,8,2,2,8,245481,522,556,1078,1698,1111,587
10000,GEMM_wideLoad_8,4,128,32,8,8,2,32,60793,477,731,1208,1372,1245,127
10000,GEMM_wideLoad_8,4,128,32,8,8,2,8,279936,537,601,1138,1774,1173,601
10000,GEMM_wideLoad_8,4,128,32,8,8,2,8,279936,537,601,1138,1774,1173,601

10000,GEMM_wideLoad_8,4,128,8,8,2,2,8,265742,537,601,1138,1808,1173,635
10000,GEMM_wideLoad_8,4,128,16,8,2,2,8,265743,537,601,1138,1808,1173,635
10000,GEMM_wideLoad_8,4,128,32,8,2,2,8,265740,537,601,1138,1808,1173,635
10000,GEMM_wideLoad_8,4,128,8,8,4,2,8,279725,537,601,1138,1774,1173,601
10000,GEMM_wideLoad_8,4,128,16,8,4,2,8,279724,537,601,1138,1774,1173,601
10000,GEMM_wideLoad_8,4,128,32,8,4,2,8,279724,537,601,1138,1774,1173,601
10000,GEMM_wideLoad_8,4,128,8,8,8,2,8,279934,537,601,1138,1774,1173,601
10000,GEMM_wideLoad_8,4,128,16,8,8,2,8,279937,537,601,1138,1774,1173,601
10000,GEMM_wideLoad_8,4,128,32,8,8,2,8,279937,537,601,1138,1774,1173,601
20000,GEMM_wideLoad_8,4,128,8,8,2,2,8,525745,20994,1185,22179,24587,23345,1242
20000,GEMM_wideLoad_8,4,128,16,8,2,2,8,525745,20994,1185,22179,24587,23345,1242
20000,GEMM_wideLoad_8,4,128,32,8,2,2,8,525743,20994,1185,22179,24587,23345,1242
20000,GEMM_wideLoad_8,4,128,8,8,4,2,8,552304,1089,1185,2274,3530,2345,1185
20000,GEMM_wideLoad_8,4,128,16,8,4,2,8,552304,1089,1185,2274,3530,2345,1185
20000,GEMM_wideLoad_8,4,128,32,8,4,2,8,552303,1089,1185,2274,3530,2345,1185
20000,GEMM_wideLoad_8,4,128,8,8,8,2,8,552517,1089,1185,2274,3530,2345,1185
20000,GEMM_wideLoad_8,4,128,16,8,8,2,8,552514,1089,1185,2274,3530,2345,1185
