numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
10000,GEMV_8,4,128,8,8,1,2,8,100313,567,383,950,1807,1424,383
10000,GEMV_8,4,128,8,8,1,2,16,44944,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,1,2,32,30890,884,66,950,1490,1424,66
10000,GEMV_8,4,128,16,8,1,2,8,100313,567,383,950,1807,1424,383
10000,GEMV_8,4,128,16,8,1,2,16,44943,820,130,950,1554,1424,130
10000,GEMV_8,4,128,16,8,1,2,32,30888,884,66,950,1490,1424,66
10000,GEMV_8,4,128,32,8,1,2,8,100314,567,383,950,1807,1424,383
10000,GEMV_8,4,128,32,8,1,2,16,44943,820,130,950,1554,1424,130
10000,GEMV_8,4,128,32,8,1,2,32,30888,884,66,950,1490,1424,66
10000,GEMV_8,4,128,8,8,2,2,8,69927,692,258,950,1682,1424,258
10000,GEMV_8,4,128,8,8,2,2,16,44559,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,2,2,32,30697,884,66,950,1490,1424,66
10000,GEMV_8,4,128,16,8,2,2,8,69927,692,258,950,1682,1424,258
10000,GEMV_8,4,128,16,8,2,2,16,44560,820,130,950,1554,1424,130
10000,GEMV_8,4,128,16,8,2,2,32,30698,884,66,950,1490,1424,66
10000,GEMV_8,4,128,32,8,2,2,8,69928,692,258,950,1682,1424,258
10000,GEMV_8,4,128,32,8,2,2,16,44561,820,130,950,1554,1424,130
10000,GEMV_8,4,128,32,8,2,2,32,30696,884,66,950,1490,1424,66
10000,GEMV_8,4,128,8,8,4,2,8,69919,692,258,950,1682,1424,258
10000,GEMV_8,4,128,8,8,4,2,16,44302,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,4,2,32,30563,884,66,950,1490,1424,66
10000,GEMV_8,4,128,16,8,4,2,8,69919,692,258,950,1682,1424,258
10000,GEMV_8,4,128,16,8,4,2,16,44300,820,130,950,1554,1424,130
10000,GEMV_8,4,128,16,8,4,2,32,30566,884,66,950,1490,1424,66
10000,GEMV_8,4,128,32,8,4,2,8,69921,692,258,950,1682,1424,258
10000,GEMV_8,4,128,32,8,4,2,16,44302,820,130,950,1554,1424,130
10000,GEMV_8,4,128,32,8,4,2,32,30566,884,66,950,1490,1424,66
10000,GEMV_8,4,128,8,8,8,2,8,69921,692,258,950,1682,1424,258
10000,GEMV_8,4,128,8,8,8,2,16,44300,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,8,2,32,30565,884,66,950,1490,1424,66
10000,GEMV_8,4,128,16,8,8,2,8,69918,692,258,950,1682,1424,258
10000,GEMV_8,4,128,16,8,8,2,16,44300,820,130,950,1554,1424,130
10000,GEMV_8,4,128,16,8,8,2,32,30563,884,66,950,1490,1424,66
10000,GEMV_8,4,128,32,8,8,2,8,69921,692,258,950,1682,1424,258
10000,GEMV_8,4,128,32,8,8,2,16,44302,820,130,950,1554,1424,130
10000,GEMV_8,4,128,32,8,8,2,32,30565,884,66,950,1490,1424,66
10000,GEMV_8,8,128,8,8,1,2,8,100314,567,383,950,1807,1424,383
10000,GEMV_8,8,128,8,8,1,2,16,44946,820,130,950,1554,1424,130
10000,GEMV_8,8,128,8,8,1,2,32,30890,884,66,950,1490,1424,66
10000,GEMV_8,8,128,16,8,1,2,8,100314,567,383,950,1807,1424,383
10000,GEMV_8,8,128,16,8,1,2,16,44945,820,130,950,1554,1424,130
10000,GEMV_8,8,128,16,8,1,2,32,30889,884,66,950,1490,1424,66
10000,GEMV_8,8,128,32,8,1,2,8,100314,567,383,950,1807,1424,383
10000,GEMV_8,8,128,32,8,1,2,16,44945,820,130,950,1554,1424,130
10000,GEMV_8,8,128,32,8,1,2,32,30888,884,66,950,1490,1424,66
10000,GEMV_8,8,128,8,8,2,2,8,69928,692,258,950,1682,1424,258
10000,GEMV_8,8,128,8,8,2,2,16,44560,820,130,950,1554,1424,130
10000,GEMV_8,8,128,8,8,2,2,32,30696,884,66,950,1490,1424,66
10000,GEMV_8,8,128,16,8,2,2,8,69928,692,258,950,1682,1424,258
10000,GEMV_8,8,128,16,8,2,2,16,44560,820,130,950,1554,1424,130
10000,GEMV_8,8,128,16,8,2,2,32,30696,884,66,950,1490,1424,66
10000,GEMV_8,8,128,32,8,2,2,8,69928,692,258,950,1682,1424,258
10000,GEMV_8,8,128,32,8,2,2,16,44560,820,130,950,1554,1424,130
10000,GEMV_8,8,128,32,8,2,2,32,30696,884,66,950,1490,1424,66
10000,GEMV_8,8,128,8,8,4,2,8,69920,692,258,950,1682,1424,258
10000,GEMV_8,8,128,8,8,4,2,16,44300,820,130,950,1554,1424,130
10000,GEMV_8,8,128,8,8,4,2,32,30564,884,66,950,1490,1424,66
10000,GEMV_8,8,128,16,8,4,2,8,69920,692,258,950,1682,1424,258
10000,GEMV_8,8,128,16,8,4,2,16,44300,820,130,950,1554,1424,130
10000,GEMV_8,8,128,16,8,4,2,32,30565,884,66,950,1490,1424,66
10000,GEMV_8,8,128,32,8,4,2,8,69920,692,258,950,1682,1424,258
10000,GEMV_8,8,128,32,8,4,2,16,44300,820,130,950,1554,1424,130
10000,GEMV_8,8,128,32,8,4,2,32,30564,884,66,950,1490,1424,66
10000,GEMV_8,8,128,8,8,8,2,8,69920,692,258,950,1682,1424,258
10000,GEMV_8,4,128,8,8,1,2,8,100314,567,383,950,1807,1424,383
10000,GEMV_8,4,128,8,8,1,2,16,44945,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,1,2,32,30888,884,66,950,1490,1424,66
10000,GEMV_8,4,128,16,8,1,2,8,100313,567,383,950,1807,1424,383
10000,GEMV_8,4,128,16,8,1,2,16,44944,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,1,2,8,100313,567,383,950,1807,1424,383
10000,GEMV_8,4,128,8,8,1,2,16,44945,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,1,2,32,30890,884,66,950,1490,1424,66
10000,GEMV_8,4,128,16,8,1,2,8,100315,567,383,950,1807,1424,383
10000,GEMV_8,4,128,16,8,1,2,16,44944,820,130,950,1554,1424,130
10000,GEMV_8,4,128,16,8,1,2,32,30889,884,66,950,1490,1424,66
10000,GEMV_8,4,128,32,8,1,2,8,100315,567,383,950,1807,1424,383
10000,GEMV_8,4,128,32,8,1,2,16,44943,820,130,950,1554,1424,130
10000,GEMV_8,4,128,32,8,1,2,32,30888,884,66,950,1490,1424,66
10000,GEMV_8,4,128,8,8,2,2,8,69929,692,258,950,1682,1424,258
10000,GEMV_8,4,128,8,8,2,2,16,44560,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,2,2,32,30698,884,66,950,1490,1424,66
10000,GEMV_8,4,128,16,8,2,2,8,69928,692,258,950,1682,1424,258
10000,GEMV_8,4,128,16,8,2,2,16,44562,820,130,950,1554,1424,130
10000,GEMV_8,4,128,16,8,2,2,32,30695,884,66,950,1490,1424,66
10000,GEMV_8,4,128,32,8,2,2,8,69927,692,258,950,1682,1424,258
10000,GEMV_8,4,128,32,8,2,2,16,44560,820,130,950,1554,1424,130
10000,GEMV_8,4,128,32,8,2,2,32,30697,884,66,950,1490,1424,66
10000,GEMV_8,4,128,8,8,4,2,8,69920,692,258,950,1682,1424,258
10000,GEMV_8,4,128,8,8,4,2,16,44299,820,130,950,1554,1424,130
10000,GEMV_8,4,128,8,8,4,2,32,30564,884,66,950,1490,1424,66
10000,GEMV_8,4,128,16,8,4,2,8,69918,692,258,950,1682,1424,258
10000,GEMV_8,4,128,16,8,4,2,16,44300,820,130,950,1554,1424,130
10000,GEMV_8,4,128,16,8,4,2,32,30564,884,66,950,1490,1424,66
10000,GEMV_8,4,128,32,8,4,2,8,69919,692,258,950,1682,1424,258
10000,GEMV_8,4,128,32,8,4,2,16,44301,820,130,950,1554,1424,130
10000,GEMV_8,4,128,32,8,4,2,32,30566,884,66,950,1490,1424,66
10000,GEMV_8,4,128,8,8,8,2,8,69918,692,258,950,1682,1424,258
