numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
10000,axpy_wideLoad_2,4,128,16,8,8,2,32,90390,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,4,128,32,8,8,2,32,90389,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,4,128,8,8,8,2,32,90390,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,4,128,16,8,8,2,32,90388,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,4,128,32,8,8,2,32,90389,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,4,128,8,8,4,2,32,90388,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,4,128,16,8,4,2,32,90390,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,4,128,32,8,4,2,32,90388,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,8,128,8,8,4,2,32,90388,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,8,128,16,8,4,2,32,90388,810,190,1000,1689,1499,190
10000,axpy_wideLoad_2,8,128,32,8,4,2,32,90388,810,190,1000,1689,1499,190
