numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
10000,blackscholes_Normal,4,128,8,8,1,1,8,202804,1206,864,2070,3278,2414,864
10000,blackscholes_Normal,4,128,8,8,1,1,8,202802,1206,864,2070,3278,2414,864
10000,blackscholes_Normal,4,128,16,8,1,1,8,202802,1206,864,2070,3278,2414,864
10000,blackscholes_Normal,4,128,32,8,1,1,8,202803,1206,864,2070,3278,2414,864
10000,blackscholes_Normal,4,128,8,8,2,1,8,202376,1204,866,2070,3280,2414,866
10000,blackscholes_Normal,4,128,16,8,2,1,8,202375,1204,866,2070,3280,2414,866
10000,blackscholes_Normal,4,128,32,8,2,1,8,202374,1204,866,2070,3280,2414,866
10000,blackscholes_Normal,4,128,8,8,2,1,8,202375,1204,866,2070,3280,2414,866
10000,blackscholes_Normal,4,128,16,8,2,1,8,202374,1204,866,2070,3280,2414,866
10000,blackscholes_Normal,4,128,32,8,2,1,8,202373,1204,866,2070,3280,2414,866
10000,blackscholes_Normal,4,128,16,8,2,1,8,202374,1204,866,2070,3280,2414,866
10000,blackscholes_Normal,4,128,32,8,2,1,8,202374,1204,866,2070,3280,2414,866
10000,blackscholes_Normal,4,128,16,8,8,1,8,189025,1335,807,2142,3305,2498,807
10000,blackscholes_Normal,4,128,32,8,8,1,8,189023,1335,807,2142,3305,2498,807
10000,blackscholes_Normal,8,256,6,8,2,2,8,130154,1597,545,2142,3043,2498,545
