numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
64,blackscholes,4,8,8,8,1,1,8,337,0,0,0,0,0,0
6400,blackscholes,4,8,8,8,1,1,8,33637,0,0,0,0,0,0
64000,blackscholes,4,8,8,8,1,1,8,0,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,384,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,383,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,382,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,424,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,1338,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,70,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,71,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,70,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,71,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,70,0,0,0,0,0,0
64,blackscholes,4,8,8,8,1,1,8,69,0,0,0,0,0,0
1000,blackscholes,4,8,32,8,2,2,8,44762,0,9000,9000,9209,9000,209
1000,blackscholes,4,8,32,8,2,2,8,44760,0,9000,9000,9209,9000,209
1000,blackscholes,4,8,32,8,1,2,8,44757,0,8694,8695,8904,8695,209
