opcode, address, data
5, 0x340, 4
5, 0x440, 4
5, 0x540, 4
5, 0x640, 4
5, 0x740, 4
5, 0x840, 4
5, 0x940, 2
5, 0x167980, 4
5, 0x167a80, 3
5, 0x486c0, 3
5, 0x167c0, 4
5, 0x168c0, 4
5, 0x169c0, 4
5, 0x16ac0, 4
5, 0x16bc0, 1
5, 0x17980, 4
5, 0x17a80, 4
5, 0x17b80, 4
5, 0x120640, 4
5, 0x30500, 4
5, 0x30600, 4
5, 0x30700, 3
5, 0x2bc0, 4
5, 0x2cc0, 1
5, 0x190e40, 4
5, 0x190f40, 4
5, 0x191040, 1
5, 0x2ae40, 4
5, 0x2af40, 4
5, 0x2b040, 4
5, 0x2b140, 4
5, 0x2b240, 1
5, 0x2740, 1
5, 0xfcc0, 4
5, 0xfdc0, 3
5, 0x2f3c0, 4
5, 0x2f4c0, 4
5, 0x2f5c0, 4
5, 0x139c80, 3
5, 0x10ba40, 2
5, 0x2f40, 3
5, 0x11b980, 2
5, 0x3480, 1
5, 0x54700, 4
5, 0x54800, 4
5, 0x54900, 3
5, 0x39c0, 4
5, 0x3ac0, 4
5, 0x3bc0, 4
5, 0x3cc0, 4
5, 0x3dc0, 4
5, 0x3ec0, 2
5, 0x35780, 4
5, 0x3240, 2
5, 0x7c680, 4
5, 0x7c780, 4
5, 0x7c880, 4
5, 0x7c980, 4
5, 0x22d0c0, 4
5, 0x22d1c0, 4
5, 0x22d2c0, 4
5, 0x22d3c0, 4
5, 0x22d4c0, 4
5, 0x22d5c0, 3
5, 0xe6bc0, 4
5, 0xe6cc0, 4
5, 0x4f40, 1
5, 0x18f80, 4
5, 0x19080, 4
5, 0x19180, 4
5, 0x19280, 4
5, 0x19380, 2
5, 0x5680, 4
5, 0x5780, 4
5, 0x5880, 4
5, 0x5980, 4
5, 0x5a80, 4
5, 0x5b80, 3
5, 0x6ce00, 4
5, 0x6cf00, 4
5, 0x6d000, 4
5, 0x6d100, 4
5, 0x6d200, 1
5, 0xfcc0, 4
5, 0xfdc0, 3
5, 0x51200, 2
5, 0x6c2c0, 2
5, 0x60380, 4
5, 0x60480, 4
5, 0x60580, 4
5, 0x60680, 4
5, 0x60780, 2
5, 0x36aa00, 4
5, 0x36ab00, 4
5, 0x36ac00, 1
5, 0x6b80, 2
5, 0x57f00, 4
5, 0x58000, 4
5, 0x3540, 4
5, 0x23000, 4
5, 0x23100, 4
5, 0x23200, 4
5, 0x23300, 4
5, 0x23400, 4
5, 0x23500, 4
5, 0x314c0, 4
5, 0x315c0, 4
5, 0x316c0, 1
5, 0xf6700, 4
5, 0xf6800, 3
5, 0x7640, 4
5, 0x7740, 4
5, 0x7840, 3
5, 0x22e00, 4
5, 0x22f00, 2
5, 0xa50c0, 4
5, 0xa51c0, 4
5, 0xa52c0, 4
5, 0x552c0, 4
5, 0x553c0, 2
5, 0x3a1c0, 4
5, 0x3a2c0, 4
5, 0x3a3c0, 4
5, 0x3a4c0, 2
5, 0x4b80, 4
5, 0x8380, 4
5, 0x8480, 4
5, 0x8580, 4
5, 0x8680, 4
5, 0x8780, 1
5, 0x6f880, 4
5, 0x231a80, 1
5, 0x9a80, 1
5, 0x3b580, 2
5, 0xa000, 2
5, 0xb4900, 2
5, 0x115540, 1
5, 0xa900, 3
5, 0xb080, 1
5, 0x270c0, 1
5, 0x66700, 4
5, 0x66800, 4
5, 0x66900, 4
5, 0x66a00, 4
5, 0x66b00, 4
5, 0x66c00, 4
5, 0x66d00, 1
5, 0x24ed80, 2
5, 0x340, 4
5, 0x440, 4
5, 0x540, 4
5, 0x640, 4
5, 0x740, 4
5, 0x840, 4
5, 0x940, 2
5, 0x4f840, 4
5, 0x4f940, 2
5, 0xbec0, 4
5, 0xbfc0, 4
5, 0xc0c0, 4
5, 0xc1c0, 4
5, 0xc2c0, 4
5, 0xc3c0, 4
5, 0xc4c0, 4
5, 0xc5c0, 4
5, 0xc6c0, 4
5, 0xc7c0, 4
5, 0xc8c0, 4
5, 0xc9c0, 4
5, 0xcac0, 4
5, 0xcbc0, 4
5, 0xccc0, 4
5, 0xcdc0, 4
5, 0xcec0, 4
5, 0x184cc0, 3
5, 0xd8c0, 1
5, 0x243540, 4
5, 0x243640, 2
5, 0xe5c0, 4
5, 0xe6c0, 3
5, 0x7dfc0, 4
5, 0x7e0c0, 4
5, 0x25e180, 4
5, 0x25e280, 4
5, 0x25e380, 3
5, 0x202c0, 4
5, 0x27e440, 3
5, 0x95340, 4
5, 0x95440, 4
5, 0x95540, 4
5, 0x95640, 2
5, 0x7b80, 4
5, 0x7c80, 4
5, 0x7d80, 4
5, 0x7e80, 3
5, 0xfe80, 1
5, 0xf5540, 3
5, 0x10580, 4
5, 0x10680, 4
5, 0x10780, 4
5, 0x10880, 1
5, 0x109c0, 1
5, 0xa1b00, 4
5, 0xa1c00, 4
5, 0xa1d00, 4
5, 0xa1e00, 4
5, 0xa1f00, 1
5, 0x4ee00, 3
5, 0x4c280, 4
5, 0x4c380, 4
5, 0x4c480, 4
5, 0x4c580, 4
5, 0x4c680, 4
5, 0x4c780, 4
5, 0x4c880, 2
5, 0xbec0, 4
5, 0xbfc0, 4
5, 0xc0c0, 4
5, 0xc1c0, 4
5, 0xc2c0, 4
5, 0xc3c0, 4
5, 0xc4c0, 4
5, 0xc5c0, 4
5, 0xc6c0, 4
5, 0xc7c0, 4
5, 0xc8c0, 4
5, 0xc9c0, 4
5, 0xcac0, 4
5, 0xcbc0, 4
5, 0xccc0, 4
5, 0xcdc0, 4
5, 0xcec0, 4
5, 0x64440, 3
5, 0x4a000, 4
5, 0x4a100, 3
5, 0x14c00, 3
5, 0x6c40, 4
5, 0x63040, 4
5, 0x63140, 3
5, 0x989c0, 4
5, 0x98ac0, 2
5, 0x1a880, 2
5, 0x12e40, 1
5, 0x12e80, 4
5, 0x4c280, 4
5, 0x4c380, 4
5, 0x4c480, 4
5, 0x4c580, 4
5, 0x4c680, 4
5, 0x4c780, 4
5, 0x4c880, 2
5, 0x25de80, 3
5, 0x151100, 4
5, 0x151200, 4
5, 0x151300, 2
5, 0x13e40, 1
5, 0x1254c0, 4
5, 0x1255c0, 4
5, 0x14600, 4
5, 0x14700, 1
5, 0x6d4c0, 4
5, 0x6d5c0, 4
5, 0x6d6c0, 4
5, 0x6d7c0, 3
5, 0x196c0, 4
5, 0x3b8c0, 4
5, 0x3b9c0, 4
5, 0x3bac0, 4
5, 0x3bbc0, 4
5, 0x3bcc0, 4
5, 0x3bdc0, 1
5, 0xa200, 3
5, 0x77640, 4
5, 0x77740, 4
5, 0x487c0, 2
5, 0x152c0, 3
5, 0x99940, 4
5, 0x99a40, 4
5, 0x99b40, 4
5, 0x99c40, 2
5, 0x2b380, 3
5, 0x2a3c0, 4
5, 0x2a4c0, 4
5, 0x2a5c0, 1
5, 0x16e80, 4
5, 0x16f80, 4
5, 0x17080, 1
5, 0x15ec0, 2
5, 0x160c0, 4
5, 0x161c0, 1
5, 0xec140, 4
5, 0x16c00, 1
5, 0x155c0, 4
5, 0x156c0, 4
5, 0x157c0, 4
5, 0x158c0, 4
5, 0x159c0, 1
5, 0x17e300, 3
5, 0xec600, 4
5, 0x93000, 3
5, 0x2fac0, 4
5, 0x2fbc0, 2
5, 0x18040, 1
5, 0x18900, 1
5, 0x5f400, 4
5, 0x5f500, 2
5, 0x55e40, 4
5, 0x55f40, 1
5, 0x109a40, 4
