numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
0,DASX_dasx,8,8,10,8,1,1,1,4131256961,0,0,0,0,0,0
0,DASX_dasx,8,8,10,8,1,1,1,4131256961,0,0,0,0,0,0
0,DASX_dasx,8,8,10,8,1,1,1,4131256961,0,0,0,0,0,0
0,DASX_dasx,8,8,10,8,1,1,8,1411281835,0,0,0,0,0,0
0,DASX_dasx,8,8,10,8,1,1,8,1411281835,0,0,0,0,0,0
0,DASX_dasx,8,8,10,8,1,1,8,1552,0,0,0,42,6,30
0,DASX_dasx,8,8,10,8,1,1,8,1544,0,0,0,42,6,30
0,DASX_dasx,8,8,10,8,1,1,8,270,0,0,0,13,6,1
0,DASX_dasx,8,8,10,8,1,1,8,270,0,0,0,13,6,1
0,DASX_dasx,12,8,14,8,1,1,8,1610,12,36,48,80,20,30
0,DASX_dasx,12,8,14,8,1,1,8,1610,12,36,48,80,20,30
0,DASX_dasx,12,8,14,8,1,1,8,1610,12,36,48,80,20,30
0,DASX_dasx,12,8,14,8,1,1,8,1873,81,36,117,160,100,30
0,DASX_dasx,12,8,14,8,1,1,8,1873,81,36,117,160,100,30
0,DASX_dasx,12,8,14,8,1,1,8,2000,120,40,160,210,150,30
