numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
0,fiberCache_fiber_out,8,64,256,32,2,1,1,698,1,153,156,158,7,2
0,fiberCache_fiber_out,8,64,256,32,2,1,1,236,0,82,83,84,3,1
0,fiberCache_fiber_out,8,64,256,32,2,1,1,236,0,82,83,84,3,1
0,fiberCache_fiber_out,8,64,256,32,2,1,1,343,0,65,66,67,2,1
0,fiberCache_fiber_out,8,64,256,32,2,1,1,231,0,253,253,254,1,1
0,fiberCache_fiber_out,8,64,256,32,2,1,1,231,0,253,253,254,1,1
0,fiberCache_fiber_out,4,128,32,32,2,1,1,1888,0,47,47,56,11,9
0,fiberCache_fiber_out,4,128,32,32,2,1,1,853,0,18,18,22,4,4
0,fiberCache_fiber_out,4,128,32,32,2,1,1,1060,0,23,23,28,5,5
0,fiberCache_fiber_out,8,128,64,32,2,1,1,5200,0,107,107,132,25,25
0,fiberCache_fiber_out,8,128,64,32,2,1,1,2302,0,48,48,59,11,11
0,fiberCache_fiber_out,8,128,64,32,2,1,1,5407,0,111,111,137,26,26
0,fiberCache_fiber_out,8,128,64,32,2,1,1,5407,0,111,111,137,26,26
0,fiberCache_fiber_out,8,128,256,32,1,1,1,12782,0,217,217,268,51,51
0,fiberCache_fiber_out,8,128,256,32,1,1,1,12238,0,405,405,464,99,59
0,fiberCache_fiber_out,8,128,256,32,1,1,1,23416,0,477,477,590,113,113
0,fiberCache_fiber_out,8,128,128,32,1,1,1,41432,28,6756,6787,6985,200,200
