numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
0,sparch_p2p31,2,128,64,8,1,1,1,645,0,66,67,70,11,3
0,sparch_p2p31,2,128,32,8,1,1,1,438,0,33,34,36,11,2
0,sparch_p2p31,2,64,128,128,1,1,1,1266,0,88,133,139,51,6
0,sparch_p2p31,2,64,128,128,1,1,1,1266,0,88,133,139,51,6
0,sparch_p2p31,8,64,128,128,1,1,1,1266,0,133,133,139,51,6
0,sparch_p2p31,8,128,64,64,1,1,1,645,0,66,66,69,34,3
0,sparch_p2p31,8,128,64,64,1,1,1,238,0,63,63,64,1,1
0,sparch_p2p31,8,128,64,64,1,1,1,238,0,63,63,64,1,1
0,sparch_p2p31,8,128,64,64,1,1,1,645,0,66,66,69,29,3
0,sparch_p2p31,8,128,64,64,1,1,1,645,0,66,66,69,19,3
0,sparch_p2p31,8,128,64,64,1,1,1,645,0,66,66,69,17,3
0,sparch_p2p31,8,128,64,64,1,1,1,647,0,66,66,69,16,3
0,sparch_p2p31,8,128,64,64,1,1,1,647,0,66,66,69,32,3
0,sparch_p2p31,8,128,64,64,1,1,1,647,0,66,66,69,3,3
0,sparch_p2p31,8,128,128,128,2,1,1,345,0,65,66,67,2,1
0,sparch_p2p31,8,128,128,128,2,1,1,406,0,55,56,57,2,1
0,sparch_p2p31,8,64,64,32,2,1,1,4580,0,102,102,124,22,22
0,sparch_p2p31,8,64,64,32,2,1,1,1889,0,42,42,51,9,9
0,sparch_p2p31,8,64,64,32,2,1,1,3752,0,83,83,101,18,18
0,sparch_p2p31,8,64,128,32,2,1,1,7478,0,159,159,195,36,36
0,sparch_p2p31,8,64,128,32,2,1,1,6443,0,201,201,232,47,31
0,sparch_p2p31,4,128,128,32,2,1,1,9756,0,204,204,251,47,47
0,sparch_p2p31,4,256,256,32,2,1,1,13275,0,284,284,348,64,64
0,sparch_p2p31,4,256,256,32,2,1,1,13275,0,284,284,348,64,64
0,sparch_p2p31,4,256,256,32,2,1,1,13480,0,289,289,354,65,65
0,sparch_p2p31,4,256,256,32,2,1,1,13480,0,289,289,354,65,65
0,sparch_p2p31,8,256,512,32,1,1,1,23002,2,492,494,605,111,111
0,sparch_p2p31,8,256,512,32,1,1,1,41425,9,873,882,1082,200,200
0,sparch_p2p31,8,256,64,32,1,1,1,29833,8,838,847,991,200,144
0,sparch_p2p31,8,256,64,32,1,1,1,143890,45,955,2883,3578,763,695
0,sparch_p2p31,4,1024,256,32,1,1,1,41425,9,873,882,1082,200,200
