STR, orig: Brand#12, Hashed: 39, result: 39, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: Brand#34, Hashed: 116, result: 116, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: Brand#23, Hashed: 432, result: 176, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: DELIVER IN PERSON, Hashed: 3575, result: 3575, Mask1: 4095, Mask2: 8191, nbucket: 6862
STR, orig: SM CASE, Hashed: 36, result: 36, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: LG BOX, Hashed: 493, result: 237, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: MED BAG, Hashed: 224, result: 224, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: LG CASE, Hashed: 211, result: 211, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: SM PACK, Hashed: 448, result: 192, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: LG PACK, Hashed: 345, result: 89, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: MED BOX, Hashed: 28, result: 28, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: SM PKG, Hashed: 407, result: 151, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: MED PACK, Hashed: 199, result: 199, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: LG PKG, Hashed: 244, result: 244, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: SM BOX, Hashed: 221, result: 221, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: MED PKG, Hashed: 431, result: 175, Mask1: 255, Mask2: 511, nbucket: 256
STR, orig: AIR REG, Hashed: 6524, result: 6524, Mask1: 4095, Mask2: 8191, nbucket: 6862
STR, orig: AIR, Hashed: 4461, result: 4461, Mask1: 4095, Mask2: 8191, nbucket: 6862
INT, orig: 45, Hashed: 45, result: 45, Mask1: 65535, Mask2: 131071, nbucket: 65536
INT, orig: 29, Hashed: 29, result: 29, Mask1: 65535, Mask2: 131071, nbucket: 65536
INT, orig: 109, Hashed: 109, result: 109, Mask1: 65535, Mask2: 131071, nbucket: 65536
INT, orig: 92, Hashed: 92, result: 92, Mask1: 65535, Mask2: 131071, nbucket: 65536
