STR, orig: CANADA, Hashed: 3, result: 3, Mask1: 255, Mask2: 511, nbucket: 256
LONG, orig: 20971522, Hashed: 35336, result: 35336, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 541065224, Hashed: 99082, result: 33546, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 457179146, Hashed: 23248, result: 23248, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 520093701, Hashed: 63741, result: 63741, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 159383556, Hashed: 85064, result: 19528, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 360710151, Hashed: 109739, result: 44203, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 486539274, Hashed: 59618, result: 59618, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 729808901, Hashed: 23897, result: 23897, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 486539274, Hashed: 59618, result: 59618, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 440401930, Hashed: 21208, result: 21208, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 578813956, Hashed: 5392, result: 5392, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 159383561, Hashed: 85061, result: 19525, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 390070278, Hashed: 15036, result: 15036, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 79691779, Hashed: 108069, result: 42533, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 272629762, Hashed: 640, result: 640, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 826277898, Hashed: 68480, result: 2944, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 754974728, Hashed: 92512, result: 26976, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 192937993, Hashed: 89173, result: 23637, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 159383561, Hashed: 85061, result: 19525, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 234881032, Hashed: 28792, result: 28792, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 520093703, Hashed: 63743, result: 63743, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 570425351, Hashed: 69911, result: 4375, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 171966466, Hashed: 53840, result: 53840, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 461373447, Hashed: 122075, result: 56539, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 188743686, Hashed: 55900, result: 55900, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 704643081, Hashed: 86361, result: 20825, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 369098761, Hashed: 45241, result: 45241, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 520093701, Hashed: 63741, result: 63741, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 566231041, Hashed: 36623, result: 36623, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 457179138, Hashed: 23256, result: 23256, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 704643079, Hashed: 86359, result: 20823, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 188743688, Hashed: 55890, result: 55890, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 796917761, Hashed: 32125, result: 32125, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 432013322, Hashed: 85700, result: 20164, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 356515846, Hashed: 10924, result: 10924, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 394264584, Hashed: 113844, result: 48308, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 360710151, Hashed: 109739, result: 44203, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 360710151, Hashed: 109739, result: 44203, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 633339906, Hashed: 44844, result: 44844, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 457179138, Hashed: 23256, result: 23256, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 796917761, Hashed: 32125, result: 32125, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 700448772, Hashed: 53066, result: 53066, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 394264583, Hashed: 113851, result: 48315, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 213909507, Hashed: 124517, result: 58981, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 352321541, Hashed: 43181, result: 43181, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 541065226, Hashed: 99080, result: 33544, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 331350026, Hashed: 73364, result: 7828, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 742391814, Hashed: 123748, result: 58212, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 654311425, Hashed: 80185, result: 14649, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 444596233, Hashed: 120029, result: 54493, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 780140551, Hashed: 30067, result: 30067, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 817889287, Hashed: 1921, result: 1921, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 33554437, Hashed: 4117, result: 4117, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 41943043, Hashed: 70679, result: 5143, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 666894346, Hashed: 48948, result: 48948, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 352321541, Hashed: 43181, result: 43181, Mask1: 65535, Mask2: 131071, nbucket: 65536
