INT, orig: 6, Hashed: 6, actual result: 6, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 9, Hashed: 9, actual result: 9, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 24, Hashed: 24, actual result: 24, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 27, Hashed: 27, actual result: 27, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 43, Hashed: 43, actual result: 43, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 58, Hashed: 58, actual result: 58, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 63, Hashed: 63, actual result: 63, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 96, Hashed: 96, actual result: 96, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 100, Hashed: 100, actual result: 100, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 102, Hashed: 102, actual result: 102, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 115, Hashed: 115, actual result: 115, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 122, Hashed: 122, actual result: 122, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 127, Hashed: 127, actual result: 127, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 129, Hashed: 128, actual result: 128, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 135, Hashed: 134, actual result: 134, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 145, Hashed: 144, actual result: 144, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
INT, orig: 149, Hashed: 148, actual result: 148, Mask1: 1023, Mask2: 2047, nbucket: 1714, hash_address: 0x7f5214001c08, 256
